Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,GridRefXY,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,,,Latitude,Longitude
1,1,"http://www.streetmap.co.uk/map?X=277324&Y=730857&SV=277324,730857&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 77324 30857,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1,Ben Chonzie,NN 77324 30857,1,01A,931,3054,51 52,OL47W 368W 379W,NN773308,277324,730857,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,277324,730857,56.453857,-3.9920621
2,17,"http://www.streetmap.co.uk/map?X=262912&Y=718916&SV=262912,718916&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 62912 18916,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=17,Ben Vorlich,NN 62912 18916,1,01B,985.3,3233,57,OL46N OL47W 365N 368W,NN629189,262912,718916,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,262912,718916,56.342687,-4.2194639
3,18,"http://www.streetmap.co.uk/map?X=261746&Y=717465&SV=261746,717465&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 61746 17465,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=18,Stuc a' Chroin,NN 61746 17465,1,01B,973,3192,57,OL46N OL47W 365N 368W,NN617174,261746,717465,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,261746,717465,56.329322,-4.2375489
4,32,"http://www.streetmap.co.uk/map?X=236707&Y=702863&SV=236707,702863&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 36707 02863,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=32,Ben Lomond,NN 36707 02863,1,01C,973.7,3195,56,OL39S 364S,NN367028,236707,702863,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,236707,702863,56.190302,-4.6330317
5,26,"http://www.streetmap.co.uk/map?X=243276&Y=724417&SV=243276,724417&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43276 24417,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=26,Ben More,NN 43276 24417,1,01C,1174,3852,51,OL46N 365N,NN432244,243276,724417,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,243276,724417,56.385966,-4.5400972
6,27,"http://www.streetmap.co.uk/map?X=243481&Y=722712&SV=243481,722712&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43481 22712,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=27,Stob Binnein,NN 43481 22712,1,01C,1165,3822,51,OL46N 365N,NN434227,243481,722712,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,243481,722712,56.370732,-4.535763
7,28,"http://www.streetmap.co.uk/map?X=243842&Y=722052&SV=243842,722052&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43842 22052,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=28,Stob Binnein - Stob Coire an Lochain,NN 43842 22052,1,01C,1068,3504,51,OL46N 365N,NN438220,243842,722052,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,243842,722052,56.364927,-4.5295319
8,39,"http://www.streetmap.co.uk/map?X=244847&Y=722468&SV=244847,722468&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44847 22468,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=39,Stob Binnein - Creag a' Bhragit,NN 44847 22468,1,01C,923,3028,51,OL46N 365N,NN448224,244847,722468,TOP,,,,,,,,,,,244847,722468,56.368992,-4.5135263
9,33,"http://www.streetmap.co.uk/map?X=245051&Y=722592&SV=245051,722592&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 45051 22592,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=33,Stob Binnein - Meall na Dige,NN 45051 22592,1,01C,966,3169,51,OL46N 365N,NN450225,245051,722592,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,245051,722592,56.370172,-4.5103003
10,30,"http://www.streetmap.co.uk/map?X=240927&Y=721215&SV=240927,721215&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 40927 21215,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=30,Cruach Ardrain,NN 40927 21215,1,01C,1045.9,3431,51 56,OL39N 364N,NN409212,240927,721215,MUN,,,,,,MUN,MUN,MUN,MUN,MUN,240927,721215,56.356444,-4.5761605
